Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Desk Set,103,English,A computer expert tries to prove his electronic brain can replace a television network's research staff.,1957,"Comedy, Romance","computer, office","Katharine Hepburn, Gig Young, Dina Merrill, Spencer Tracy, Joan Blondell",Walter Lang,TCM ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",20th Century Fox,Unknown
The Tall Stranger,83,English,A Union soldier returns to his western home at the end of the Civil War and finds himself caught in the middle of a land war between his greedy half-brother and a wagon train of Confederate homesteaders.,1957,Western,land war,"Barry Kelley, Whit Bissell, Michael Ansara, Joel McCrea, Virginia Mayo",Thomas Carr,,,"Apple TV, Amazon Video ",Walter Mirisch Productions,Unknown
Hell Drivers,108,English,An ex-con trying to go clean ends up working for a crooked trucking company swindling money.,1957,"Crime, Drama, Thriller","fraud, fistfight, rivalry, film noir, boarding house, british noir, truck driver, ex-con, trucking, dump truck","Herbert Lom, Stanley Baker, Peggy Cummins, Patrick McGoohan, William Hartnell",Cy Endfield,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, Criterion Channel ",,,The Rank Organisation,Unknown
Raintree County,188,English,"In 1859, idealist John Wickliff Shawnessey, a resident of Raintree County, Indiana, is distracted from his high school sweetheart Nell Gaither by Susanna Drake, a rich New Orleans girl. This love triangle is further complicated by the American Civil War, and dark family history.",1957,"Drama, Romance, History","civil war, love triangle, love, 19th century","Elizabeth Taylor, Lee Marvin, Montgomery Clift, Eva Marie Saint, Nigel Patrick",Edward Dmytryk,,,,Metro-Goldwyn-Mayer,Unknown
The Good Soldier Švejk,108,Czech,"Good-natured and garrulous, Schweik becomes the Austrian army's most loyal Czech soldier when he is called up on the outbreak of World War I -- although his bumbling attempts to get to the front serve only to prevent him from reaching it. Playing cards and getting drunk, he uses all his cunning and genial subterfuge to deal with the police, clergy, and officers who chivy him toward battle.",1957,"Comedy, War","based on novel or book, world war i","Josef Hlinomaz, Miloš Kopecký, František Filipovský, Eva Svobodová, Rudolf Hrušínský",Karel Steklý,Klassiki ,,,Filmové studio Barrandov,Unknown
Il Grido,115,Italian,A sugar-refinery worker flees his Northern Italy town after a woman refuses his marriage proposal.,1957,Drama,"depression, mechanic, oil refinery","Gabriella Pallotta, Dorian Gray, Jacqueline Jones, Alida Valli, Steve Cochran",Michelangelo Antonioni,,"Amazon Video, Vudu ","Amazon Video, Vudu ","SPA Cinematografica, Robert Alexander Productions",Unknown
20 Million Miles to Earth,82,English,"When the first manned flight to Venus returns to Earth, the rocket crash-lands in the Mediterranean near a small Italian fishing village. The locals manage to save one of the astronauts Colonel Calder, the mission commander. A young boy also recovers what turns out to be a specimen of an alien creature. Growing at a fantastic rate, it manages to escape and eventually threatens the city of Rome.",1957,"Science Fiction, Horror","elephant, rome, italy, colosseum, italy, sicily, italy, military officer, space travel, stop motion, black and white, military, venus the planet, scientific expedition, alien monster, space exploration, monster movie, extraterrestrial animal, spaceship crash, woman medical student, lone survivor","Frank Puglia, John Zaremba, Joan Taylor, Thomas Browne Henry, William Hopper",Nathan H. Juran,"fuboTV, FlixFling, IndieFlix ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling ","Morningside Productions, Columbia Pictures",Unknown
The Giant Claw,74,English,Global panic ensues when it is revealed that a mysterious UFO is actually a giant turkey-like bird that flies at supersonic speed and has no regard for life or architecture.,1957,"Horror, Science Fiction","canada, monster, panic, giant bird, ufo, space, black and white, united nations, alien monster, french canadian","Morris Ankrum, Edgar Barrier, Jeff Morrow, Mara Corday, Louis Merrill",Fred F. Sears,FlixFling ,FlixFling ,FlixFling ,"Clover Productions, Columbia Pictures",Unknown
"What's Opera, Doc?",7,English,"Bugs is in drag as the Valkyrie Brunhilde, who is pursued by Elmer playing the demigod Siegfried.",1957,"Animation, Comedy, Music","opera, hunter, cartoon, parody, cartoon rabbit, opera parody, short film","Arthur Q. Bryan, Mel Blanc",Chuck Jones,,,,Warner Bros. Cartoons,Unknown
Venice: Theme and Variations,28,English,"Ivory's initial effort as a filmmaker was Venice: Theme and Variations, a documentary made as his master's thesis at the USC film school that, although only 28 minutes long, is rich in composition and aesthetic texture.",1957,Documentary,None,Alexander Scourby,James Ivory,,,,,Unknown
